"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Source"
"Catak F.O.; Ahmed J.; Sahinbas K.; Khand Z.H.","Catak, Ferhat Ozgur (55625667200); Ahmed, Javed (57196871816); Sahinbas, Kevser (54389988500); Khand, Zahid Hussain (57216967673)","55625667200; 57196871816; 54389988500; 57216967673","Data Augmentation based Malware Detection Using Convolutional Neural Networks","2021","PeerJ Computer Science","7","","","1","26","25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100682228&doi=10.7717%2fPEERJ-CS.346&partnerID=40&md5=8cffaa4be31ca201490bc7f13a9781cd","Due to advancements in malware competencies, cyber-attacks have been broadly observed in the digital world. Cyber-attacks can hit an organization hard by causing several damages such as data breach, financial loss, and reputation loss. Some of the most prominent examples of ransomware attacks in history are WannaCry and Petya, which impacted companies’ finances throughout the globe. Both WannaCry and Petya caused operational processes inoperable by targeting critical infrastructure. It is quite impossible for anti-virus applications using traditional signature-based methods to detect this type of malware because they have different characteristics on each contaminated computer. The most important feature of this type of malware is that they change their contents using their mutation engines to create another hash representation of the executable file as they propagate from one computer to another. To overcome this method that attackers use to camouflage malware, we have created three-channel image files of malicious software. Attackers make different variants of the same software because they modify the contents of the malware. In the solution to this problem, we created variants of the images by applying data augmentationmethods. This article aims to provide an image augmentation enhanced deep convolutional neural network (CNN) models for detecting malware families in a metamorphic malware environment. The main contributions of the article consist of three components, including image generation from malware samples, image augmentation, and the last one is classifying the malware families by using a CNN model. In the first component, the collected malware samples are converted into binary file to 3-channel images using the windowing technique. The second component of the system create the augmented version of the images, and the last part builds a classification model. This study uses five different deep CNNmodel formalware family detection. The results obtained by the classifier demonstrate accuracy up to 98%, which is quite satisfactory. Copyright 2021 Catak et al.","Convolutional neural networks; Cybersecurity; Image augmentation; Malware analysis","Computer viruses; Convolution; Crime; Deep neural networks; Image enhancement; Losses; Network security; Classification models; Data augmentation; Image generations; Important features; Malware detection; Metamorphic malware; Operational process; Windowing techniques; Convolutional neural networks","Article","Final","Scopus"
"Hoffmann C.; Haas R.; Bhimrajka N.; Penjarla N.S.","Hoffmann, Christa (57223395607); Haas, Roland (57196720657); Bhimrajka, Nidhish (57575526700); Penjarla, Naga Srihith (57575102700)","57223395607; 57196720657; 57575526700; 57575102700","Cyberattacks in agribusiness","2022","Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI)","P-317","","","117","122","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128237008&partnerID=40&md5=c7efebc566531f6203df72af10dba5bc","Cyberattacks are increasing across different industry sectors. The agribusiness sector has seen an accelerating rate of ransomware attacks both upstream as well as downstream. The article analyses attacks which were reported over more than a decade and summarizes the major trends. The increasing connectivity and deployment of sophisticated IT solutions for precision and smart farming makes this sector potentially very vulnerable. © 2022 Gesellschaft fur Informatik (GI). All rights reserved.","attack surface; critical infrastructure; cyberattacks; cybercrime; cybersecurity management systems; data leaks and breaches; hacktivists; precision agriculture; ransomware; smart farming","Cybersecurity; Information management; Precision agriculture; Attack surface; Critical infrastructure; Cyber-attacks; Cyber-crimes; Cybersecurity management systems; Data leak and breach; Hacktivist; Industry sectors; Precision Agriculture; Smart farming; Malware","Conference paper","Final","Scopus"
"Wei W.; Qiao M.; Butler E.; Jadav D.","Wei, Wenqi (57209882960); Qiao, Mu (36667339200); Butler, Eric (25635226300); Jadav, Divyesh (6602150664)","57209882960; 36667339200; 25635226300; 6602150664","Graph Representation Learning based Vulnerable Target Identification in Ransomware Attacks","2022","Proceedings - 2022 IEEE International Conference on Big Data, Big Data 2022","","","","2423","2430","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147916940&doi=10.1109%2fBigData55660.2022.10021008&partnerID=40&md5=c1877e09c55ec9ff16eb2a344152ff93","The increased digitization of commercial and consumer workflows, accelerated cloud adoption, and the growing sophistication of cyber criminals have resulted in ransomware emerging as a major threat of cyber attacks in cloud and data services. While research in malware detection can be partially adapted for ransomware, specific ransomware infection patterns can be leveraged to improve the detection efficiency. In this paper, we focus on identifying vulnerable targets in ransomware attacks, aiming to accelerate the ransomware detection process as well as enable better data backup policies design. Specifically, we make three contributions. First, we characterize lexical features and hierarchical file structure features on those ransomware infected files and folders. Second, we model the data backup as an attributed tree graph, learn a new feature representation of the nodes with graph neural networks, and train a classifier based on the new features. Third, with real-world snapshot backup instances, we demonstrate the superior performance of the graph representation learning based approach over several baselines. Compared to the traditional full-scan approaches, our finding suggests that the vulnerable ransomware attack target identification can result in a more efficient ransomware detection process via focused inspection of most vulnerable data in the backups. Our method can also be easily integrated into existing ransomware detection systems for accelerated cyber resiliency. © 2022 IEEE.","classification; data backup; graph neural networks; ransomware attacks; representation learning","Cybersecurity; Graph neural networks; Malware; Network security; Trees (mathematics); Cloud adoptions; Data backups; Detection process; Digitisation; Graph neural networks; Graph representation; Ransomware attack; Representation learning; Target's identifications; Work-flows; Classification (of information)","Conference paper","Final","Scopus"
"Lee C.; Lee K.","Lee, Chulwon (57273314500); Lee, Kyungho (55585886400)","57273314500; 55585886400","Impact Analysis of Resilience Against Malicious Code Attacks via Emails","2022","Computers, Materials and Continua","72","3","","4803","4816","13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128618558&doi=10.32604%2fcmc.2022.025310&partnerID=40&md5=e40e5909e51a10526f757b190ba0cbe6","The damage caused by malicious software is increasing owing to the COVID-19 pandemic, such as ransomware attacks on information technology and operational technology systems based on corporate networks and social infrastructures and spear-phishing attacks on business or research institutes. Recently, several studies have been conducted to prevent further phishing emails in the workplace because malware attacks employ emails as the primary means of penetration. However, according to the latest research, there appears to be a limitation in blocking email spoofing through advanced blocking systems such as spam email filtering solutions and advanced persistent threat systems. Therefore, experts believe that it is more critical to restore services immediately through resilience than the advanced prevention program in the event of damage caused by malicious software. In accordance with this trend, we conducted a survey among 100 employees engaging in information security regarding the effective factors for countering malware attacks through email. Furthermore, we confirmed that resilience, backup, and restoration were effective factors in responding to phishing emails. In contrast, practical exercise and attack visualization were recognized as having little effect on malware attacks. In conclusion, our study reminds business and supervisory institutions to carefully examine their regular voluntary exercises or mandatory training programs and assists private corporations and public institutions to establish counter-strategies for dealing with malware attacks. © 2022 Tech Science Press. All rights reserved.","Cyberattack; malicious code; resilience; spear-phishing","Codes (symbols); Cybersecurity; Electronic mail; Personnel training; Restoration; Blockings; Cyber-attacks; Impact analysis; Malicious codes; Malware attacks; Operational technologies; Phishing; Resilience; Spear phishing; Technology system; Malware","Article","Final","Scopus"
"Li Z.; Liao Q.","Li, Zhen (36067078500); Liao, Qi (36908488500)","36067078500; 36908488500","Does Cyber-Insurance Benefit the Insured or the Attacker? – A Game of Cyber-Insurance","2023","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","14167 LNCS","","","23","42","19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181984888&doi=10.1007%2f978-3-031-50670-3_2&partnerID=40&md5=9cb9a7015ad103dfdb1624cbeea4e04c","Cyber-insurance is an insurance policy that protects the insured from a variety of cybersecurity incidents such as cyber-attacks, ransomware, and data breaches. The rapid expansion of cyber-insurance in recent years hints the strong demand for cyber-insurance and its benefits. However, the impacts of cyber-insurance practice on cybersecurity enhancement and cyber-attackers are largely unknown. In this paper we study the optimal cybersecurity investment and cyber-insurance decision-making systematically with special attention paid to the effects of the attacker’s strategies. The economic modeling analysis and simulation study suggest that although cyber-insurance may be beneficial for the insured from a financial perspective, cyber-insurance practice may not be optimal from the societal cybersecurity perspective. Purchasing cyber-insurance decreases organizations’ optimal cybersecurity investment and increases the attacker’s expected payoffs. Therefore, the attacker has a motive to manipulate cyber-insurance by selective cyber-attacks on organizations up to a critical point, beyond which we discovered that imposing further threat will force organizations to invest more in cybersecurity. The attacker is capable of “playing god” by controlling the probabilities of initiating cyber-attacks and acts strategically to influence organizations’ incentives to whether to purchase cyber-insurance to harvest benefits. This study of cyber-insurance’ effects on attackers and their strategic manipulation of cyber-insurance provides insights for the future of the cyber-insurance market. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.","attacker manipulation; cyber-insurance; cybersecurity investment; economic modeling and analysis; game theory; pricing","Costs; Crime; Cybersecurity; Decision making; Economic analysis; Financial markets; Game theory; Insurance; Malware; Network security; Attacker manipulation; Cybe-insurance; Cyber security; Cyber-attacks; Cybersecurity investment; Economic models; Economics analysis; Insurance policies; Modelling and analysis; Rapid expansion; Investments","Conference paper","Final","Scopus"
"Begovic K.; Al-Ali A.; Malluhi Q.","Begovic, Kenan (58318292100); Al-Ali, Abdulaziz (57209275453); Malluhi, Qutaibah (35616323300)","58318292100; 57209275453; 35616323300","Cryptographic ransomware encryption detection: Survey","2023","Computers and Security","132","","103349","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162234422&doi=10.1016%2fj.cose.2023.103349&partnerID=40&md5=a50c7e43e28e29a0d12496b272f140a2","The ransomware threat has loomed over our digital life since 1989. Criminals use this type of cyber attack to lock or encrypt victims' data, often coercing them to pay exorbitant amounts in ransom. The damage ransomware causes ranges from monetary losses paid for ransom at best to endangering human lives. Cryptographic ransomware, where attackers encrypt the victim's data, stands as the predominant ransomware variant. The primary characteristics of these attacks have remained the same since the first ransomware attack. For this reason, we consider this a key factor differentiating ransomware from other cyber attacks, making it vital in tackling the threat of cryptographic ransomware. This paper proposes a cyber kill chain that describes the modern crypto-ransomware attack. The survey focuses on the Encryption phase as described in our proposed cyber kill chain and its detection techniques. We identify three main methods used in detecting encryption-related activities by ransomware, namely API and System calls, I/O monitoring, and file system activities monitoring. Machine learning (ML) is a tool used in all three identified methodologies, and some of the issues within the ML domain related to this survey are also covered as part of their respective methodologies. The survey of selected proposals is conducted through the prism of those three methodologies, showcasing the importance of detecting ransomware during pre-encryption and encryption activities and the windows of opportunity to do so. We also examine commercial crypto-ransomware protection and detection offerings and show the gap between academic research and commercial applications. © 2023 The Author(s)","Crypto-ransomware; Cybersecurity; Encryption; Kill-chain; Ransomware; Survey","Crime; Cyber attacks; Malware; Network security; Crypto-ransomware; CryptoGraphics; Cyber security; Cyber-attacks; Digital life; Encryption detections; Human lives; Key factors; Kill chain; Machine-learning; Cryptography","Article","Final","Scopus"
"OBrien P.","OBrien, Patrick (57222336555)","57222336555","How is Cybersecurity Changing Process Safety?","2021","2021 Spring Meeting and 17th Global Congress on Process Safety, GCPS 2021","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135224054&partnerID=40&md5=2928b6944e2ac810c826e77dec533b72","Cybersecurity has become a credible threat to process safety,and the exposure has never been higher with 70% of Industrial Automation and Control Systems (IACS) now using remote access. The consequences of cyber-attacks are well understood for business networks (e.g.,data theft,ransomware,denial of service),but for IACS there is the potential for even more severe consequences,because IACS control physical systems. Case studies will be used to demonstrate how cyber-attacks on IACS can cause damage to equipment,the environment,and safety. This paper will look at how cybersecurity is changing process safety,considering the impact of cybersecurity events on traditional strategies for safeguarding and risk assessment,and introduce key steps for managing cybersecurity risk. These concepts are at the core of the ongoing CCPS project Managing Cybersecurity - A Risk-based Approach Building on the Process Safety Framework. Copyright © American Institute of Chemical Engineers. All rights reserved.","Control System (IACS); Cybersecurity; Industrial Automation; Lifecycle","Accident prevention; Control systems; Crime; Denial-of-service attack; Life cycle; Malware; Network security; Risk assessment; Business networks; Control system (industrial automation and control system); Cyber security; Cyber-attacks; Data thefts; Industrial automation; Industrial automation and control systems; Lifecycle; Process safety; Remote access; Cybersecurity","Conference paper","Final","Scopus"
"Choudhary A.; Chaudhary A.; Devi S.","Choudhary, Ashish (58253096400); Chaudhary, Adarsh (58178753400); Devi, Suman (57219434221)","58253096400; 58178753400; 57219434221","Cyber Security With Emerging Technologies & Challenges","2022","Proceedings - 2022 4th International Conference on Advances in Computing, Communication Control and Networking, ICAC3N 2022","","","","1875","1879","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152192743&doi=10.1109%2fICAC3N56670.2022.10074579&partnerID=40&md5=5407ff971c962567717feb2b877edcf2","In order to save the online information systems of private, cooperative, and government organisations and prevent them from attacks that enters into organizations system must use flawless and smart cybersecurity technologies. Some industries technologies which are now emerging are machine learning, blockchain, forecast security, cloud computing and Artificial intelligence (AI). Likewise, security operations centers (SOCs) should increment the development of safety techniques to conquer defensive cases. For every user the advanced cyber security future protocols should be develop with the help of emerging security techniques.Cyber Security has a key aspect in the plot of IT. Data storage has been one of the biggest jobs of our time. Cyber crimes is the first thing which occurs in our mind when we start talking about cyber security that is increasing more & more with time. Different governments and organization took several steps to stop these cases. Exclusive of many covers cyber security is still a major challenge for many people. Challenges & difficulties faced by cyber security on the latest developed technologies and emerging cyber security techniques upgrading the world of cyber security will be discussed in this paper. Increasing of cybersecurity threat is overbearing and very unacceptable. A cyber-attack is visualized with the damage done by cyber-threats, but they are impossible to held - except for a digger situation between nations or states.Organizations which successfully created protective techniques should show them and provide it to the world. Fastly developing era increases the demand of safe and intelligent cyber defense techniques, including private cybersecurity groups, research centers of universities and government, corporations, public institutions, start-ups, etc. © 2022 IEEE.","AI; AntiVirus; Blockchain; Cloud Computing; Cyber Crime; Cyber Security; IOT; Malware; Phishing; Ransomware","Artificial intelligence; Blockchain; Cloud computing; Crime; Digital storage; Internet of things; Malware; Network security; Online systems; Anti virus; Block-chain; Cloud-computing; Cyber security; Cyber-crimes; Emerging technologies; IOT; Malwares; Phishing; Technology challenges; Cybersecurity","Conference paper","Final","Scopus"
"Cantu A.; Geng J.; Rong C.","Cantu, Asahi (58071646600); Geng, Jiahui (57224506135); Rong, Chunming (7005804907)","58071646600; 57224506135; 7005804907","NFT as a proof of Digital Ownership-reward system integrated to a Secure Distributed Computing Blockchain Framework","2022","Proceedings of the International Conference on Cloud Computing Technology and Science, CloudCom","2022-December","","","97","104","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146553290&doi=10.1109%2fCloudCom55334.2022.00024&partnerID=40&md5=7b9bdb85d50f1326199fb17decdc4c94","Today, the global economy is dependent on the Internet and computational resources. Although they are tightly interconnected, it is difficult to evaluate their degree of interdependence. Keeping up with the pace of technology can be a challenging task, mainly when updating the hardware and software infrastructure. Every day, corporations and governments are faced with this issue; most have been victims of cyber attacks, security breaches, and data leaks. The consequences are significant in monetary losses; damage remediation is unattainable, even impossible, in certain circumstances. The repercussions might include reputational damage, legal responsibility, and threats to national security (when attacks are carried out against critical infrastructures to control the resources of a country), to name a few. Similarly, data has become such an integral part of many industries that it is one of the most critical targets for attackers that often is encrypted by ransomware, stolen, or corrupted. Without data, many companies are not able to continue operating as they do. The combination of all these factors complicates the ability of organizations to cooperate, trust, and share information in efforts to research and develop solutions for industry and government.This work proposes a Blockchain-based infrastructure solution provided by 'Hyperledger Fabric' technology for companies to securely transmit and share information using the latest encryption and data storage technologies operating on the model of distributed systems and smart contracts. By presenting unique digital assets as Non-Fungible Tokens (NFT), the infrastructure is able to trust the integrity of the data, while protecting it from counterfeiting. Through the use of a Blockchain-based file storage system known as IPFS, and by connecting all the relevant elements together through a web-based application, it is possible to demonstrate that the implementation of such systems is feasible, highly scalable and a useful tool that many organizations can utilize to create new work systems and worktflows for digital asset management.  © 2022 IEEE.","blockchain; Digital Ownership; Hyperledger Fabric; IPFS; NFT","Cryptography; Cybersecurity; Digital storage; Information dissemination; National security; Network security; Block-chain; Computational resources; Digital ownership; Global economies; Hardware and software; Hyperledg fabric; Internet resources; IPFS; Non-fungible token; Reward systems; Blockchain","Conference paper","Final","Scopus"
"Ota Y.; Mizuno E.; Asai H.; Aoyama T.; Hashimoto Y.; Koshijima I.","Ota, Yuitaka (57583406500); Mizuno, Erika (57466122800); Asai, Haruna (57202871849); Aoyama, Tomomi (56579685100); Hashimoto, Yoshihiro (35448310800); Koshijima, Ichiro (6603621893)","57583406500; 57466122800; 57202871849; 56579685100; 35448310800; 6603621893","Research on Human Resource Development Exercises for Resilience to Cyber Incidents in Critical Infrastructure","2021","36th Center for Chemical Process Safety International Conference, CCPS 2021 - Topical Conference at the 2021 AIChE Spring Meeting and 17th Global Congress on Process Safety","","","","373","400","27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141736671&partnerID=40&md5=71989f713cc3f94b595da229fdba2b20","Current cyber-attacks target IT systems and OT (Operational Technology) systems that are indispensable for the automatic operation of critical infrastructure industries. There have been various reports of cyber incidents targeting the OT system. In 2019, Norsk Hydor was infected with particular ransomware worldwide through its corporate network, forcing the manufacturing site to operate manually. In May 2020, Taiwan's CPU, responsible for Taiwan's oil supply, was targeted by a cyber-attack. COTS (Commercial Off The Shelf, such as Windows OS, Intel PC, and open source applications) devices have been proposed to reduce the deploying OT system budget. Also, DX efforts are being made to shift from physical operation to virtual operation by using virtualization with IoT, AI, and Cloud. Due to this technological trend, the expanded attack surface is forced to manage the OT system as a ""Zero Trust System"" that assumes cyber-attacks. In IT systems, countermeasures such as whitelisting and firewalls prevent attackers from outside the system. For OT system, Network Security Zoning described in IEC62443 is recommended to mitigate the effects of cyber-attacks. However, attackers exist all over the world, and they are continually developing new attack methods. For this reason, the authors believe that it is impossible to prevent all attacks, no matter what measures the defenders take. Therefore, when responding to cyber-attacks against the OT system, it is essential to consider countermeasures by focusing on plant accidents caused by control system failures, most of which are assumed as safety measures. To ensure the plant's safety and continue the business operation even if it has a cyber-attack on the OT system, it is indispensable to develop human resources to respond to the incident flexibly. For this reason, we had been developing cybersecurity exercises to acquire the meta-knowledge necessary to respond to cyber-attacks targeting the OT system. In this paper, the authors present the design framework, the implementation method, and OT expert's evaluation results of a proposed exercise. © 36th Center for Chemical Process Safety International Conference, CCPS 2021 - Topical Conference at the 2021 AIChE Spring Meeting and 17th Global Congress on Process Safety.","business continuity management; cyber incident exercise; OT-Security","Computer system firewalls; Computer viruses; Critical infrastructures; Cybersecurity; Human resource management; Network security; Open systems; Public works; Systems engineering; 'current; Attack target; Business continuity management; Cybe incident exercise; Cyber-attacks; Human resources development; IT system; Operational technologies; Operational technology-security; Technology system; Budget control","Conference paper","Final","Scopus"
"Nusairat T.; Saudi M.M.; Ahmad A.B.","Nusairat, Tamara (58627265900); Saudi, Madihah Mohd (23467899200); Ahmad, Azuan Bin (56417014000)","58627265900; 23467899200; 56417014000","A Recent Assessment for the Ransomware Attacks Against the Internet of Medical Things (IoMT): A Review","2023","Proceedings - 13th IEEE International Conference on Control System, Computing and Engineering, ICCSCE 2023","","","","238","242","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172864524&doi=10.1109%2fICCSCE58721.2023.10237161&partnerID=40&md5=d9c3c44bb67b55d07e0ffdd5195934e3","The magnitude, complexity, and diversity of cyber threats against the Internet of Medical Things have increased over the past several years, making it challenging to implement effective defence strategies against these cyber-attacks, especially against ransomware. Balancing security requirements and rapid innovation and adoption with the Internet of Medical Things is challenging in healthcare industries. Hence, this article presents the identified features in ransomware architecture that triggered the ransomware attacks against the Internet of Medical Things. The experiment was conducted in a controlled lab environment, with open-source tools and by using hybrid analysis. As a result, thirteen (13) related features that include initial access, persistence, execution, defence evasion, credential access, discovery, impact, command and control, privilege escalation, lateral movement, collection, network communication and MD5 have been identified by analyzing vulnerabilities, potential attack routes, and the effects of a successful security breach against the IoMT. In the future, this work can be used as a reference and guidance for other researchers with the same interest. © 2023 IEEE.","architecture; healthcare industries; hybrid analysis; Internet of Medical Things; ransomware","Health care; Malware; Network architecture; Network security; Command and control; Cyber threats; Cyber-attacks; Defense strategy; Healthcare industry; Hybrid analysis; Internet of medical thing; Open source tools; Rapid innovation; Security requirements; Cybersecurity","Conference paper","Final","Scopus"
"Zahoora U.; Rajarajan M.; Pan Z.; Khan A.","Zahoora, Umme (57216615026); Rajarajan, Muttukrishnan (7003797040); Pan, Zahoqing (57471468100); Khan, Asifullah (8510710900)","57216615026; 7003797040; 57471468100; 8510710900","Zero-day Ransomware Attack Detection using Deep Contractive Autoencoder and Voting based Ensemble Classifier","2022","Applied Intelligence","52","12","","13941","13960","19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125451641&doi=10.1007%2fs10489-022-03244-6&partnerID=40&md5=f7c73e8cb7977abf61bdd4ab607d381e","Ransomware attacks are hazardous cyber-attacks that use cryptographic methods to hold victims’ data until the ransom is paid. Zero-day ransomware attacks try to exploit new vulnerabilities and are considered a severe threat to existing security solutions and internet resources. In the case of zero-day attacks, training data is not available before the attack takes place. Therefore, we exploit Zero-shot Learning (ZSL) capabilities that can effectively deal with unseen classes compared to the traditional machine learning techniques. ZSL is a two-stage process comprising of: Attribute Learning (AL) and Inference Stage (IS). In this regard, this work presents a new Deep Contractive Autoencoder based Attribute Learning (DCAE-ZSL) technique as well as an IS method based on Heterogeneous Voting Ensemble (DCAE-ZSL-HVE). In the proposed DCAE-ZSL approach, Contractive Autoencoder (CAE) is employed to extract core features of known and unknown ransomware. The regularization term of CAE helps in penalizing the classifier's sensitivity against the small dissimilarities in the latent space. On the other hand, in case of the IS, four combination rules Global Majority (GM), Local Majority (LM), Cumulative Vote-against based Global Majority (CVAGM), Cumulative Vote-for based Global Majority (CVFGM) are utilized to find the final prediction. It is empirically shown that in comparison to conventional machine learning techniques, models trained on contractive embedding show reasonable performance against zero-day attacks. Furthermore, it is shown that the exploitation of these core features through the proposed voting based ensemble (DCAE-ZSL-HVE) has demonstrated significant improvement in detecting zero-day attacks (recall = 0.95) and reducing False Negative (FN = 6). © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Autoencoder; Deep Learning; Ensemble Classification; Ransomware; Zero-day Attack; Zero-shot Learning","Cybersecurity; Deep learning; Learning algorithms; Learning systems; Malware; Zero-shot learning; Attack detection; Auto encoders; Core features; Cyber-attacks; Deep learning; Ensemble classification; Ensemble-classifier; Inference stages; Machine learning techniques; Zero day attack; Zero-day attack","Article","Final","Scopus"
"Jansen van Vuuren J.; Leenen L.; Jansen van Vuuren A.-M.","Jansen van Vuuren, Joey (57203980977); Leenen, Louise (14831357100); Jansen van Vuuren, Anna-Marie (57202464069)","57203980977; 14831357100; 57202464069","Don’t be Caught Unaware: A Ransomware Primer with a Specific Focus on Africa","2022","IFIP Advances in Information and Communication Technology","656 IFIP","","","115","131","16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138007212&doi=10.1007%2f978-3-031-15688-5_11&partnerID=40&md5=33353dea5626242d97a40d12af1da882","Ransomware attacks have become the fastest growing and most serious type of cybercrime. A ransomware attack does not only capture victims’ data, but also prevents victims from accessing their own data until a ransom has been paid. The prevention of and recovery from a ransomware attack have become a major concern for governments and organizations. This paper presents guidelines for institutions to secure their systems from ransomware attacks and to put steps in place for recovery if their systems have been attacked. The human is often the weak link in allowing an intrusion into a network. African countries are at even greater risk because their populations are often not sufficiently trained nor aware of cybersecurity risks. © 2022, IFIP International Federation for Information Processing.","Cyber-attacks; Cybercrime combatting culture; Cybersecurity culture; Cybersecurity in Africa; Ransomware","Cybersecurity; Network security; Cyber security; Cyber-attacks; Cyber-crimes; Cybercrime combatting culture; Cybersecurity culture; Cybersecurity in africa; Step-in-place; Weakest links; Malware","Conference paper","Final","Scopus"
"Kamil S.; Siti Norul H.S.A.; Firdaus A.; Usman O.L.","Kamil, Samar (57205323415); Siti Norul, Huda Sheikh Abdullah (57671602900); Firdaus, Ahmad (56801719800); Usman, Opeyemi Lateef (57220633239)","57205323415; 57671602900; 56801719800; 57220633239","The Rise of Ransomware: A Review of Attacks, Detection Techniques, and Future Challenges","2022","2022 International Conference on Business Analytics for Technology and Security, ICBATS 2022","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129682615&doi=10.1109%2fICBATS54253.2022.9759000&partnerID=40&md5=0c8788905b2e57c8e59e5a7e2be258f3","Cybersecurity is important in the field of information technology. One most recent pressing issue is information security. When we think of cybersecurity, the first thing that comes to mind is cyber-attacks, which are on the rise, such as Ransomware. Various governments and businesses take a variety of measures to combat cybercrime. People are still concerned about ransomware, despite numerous cybersecurity precautions. In ransomware, the attacker encrypts the victim's files/data and demands payment to unlock the data. Cybersecurity is a collection of tools, regulations, security guards, security ideas, guidelines, risk management, activities, training, insurance, best practices, and technology used to secure the cyber environment, organization, and user assets. This paper analyses ransomware attacks, techniques for dealing with these attacks, and future challenges. © 2022 IEEE.","cyber-attacks; cybersecurity; Ransomware; security","Crime; Cyber attacks; Malware; Risk management; Attack detection; Best practices; Cyber security; Cyber-crimes; Future challenges; Management activities; Pressung; Risks management; Security; Security guards; Network security","Conference paper","Final","Scopus"
"Berry H.S.","Berry, Hala Strohmier (58126665600)","58126665600","The Evolution of Cryptocurrency and Cyber Attacks","2022","Proceedings of the International Conference on Computer and Applications, ICCA 2022 - Proceedings","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149308979&doi=10.1109%2fICCA56443.2022.10039632&partnerID=40&md5=f8ad3498b3781608dfcbd22178de7f6c","Cryptocurrencies characteristics facilitated ran-somware attacks extorting payments in the form of Bitcoin, Mon-ero, Ethereum and others from individuals and organizations. The open cyber boarders allowed anyone to own cryptocurrency without revealing their identities. This research investigates the role of cryptocurrency in the increase of cyber attacks and creating the new phenomenon of crypto-ransomware and answer two fundamental questions: (1) Is there a correlation between the increase use of cryptocurrency and the spread of cyber attacks? And (2) Would ransomware attacks exist if cryptocurrency did not exist?.  © 2022 IEEE.","Bitcoin; Blockchain; Crypto-Ransomware; Cryptocurrency; Cyber attacks; Cybersecurity; CyberWall; Ethereum; Monero","Bitcoin; Blockchain; Computer crime; Crime; Ethereum; Network security; Block-chain; Crypto-ransomware; Cyber security; Cyber-attacks; Cyberwall; Monero; Cybersecurity","Conference paper","Final","Scopus"
"Anand C.S.; Shanker R.","Anand, C.S. (57205630991); Shanker, Ravi (57644920700)","57205630991; 57644920700","Zero Trust Resilience Strategy for Linux Crypto Ransomware Obviation and Recuperation","2023","2023 3rd International Conference on Intelligent Technologies, CONIT 2023","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169921795&doi=10.1109%2fCONIT59222.2023.10205545&partnerID=40&md5=a4e9e3f0d7e969d8e69925cafaa5605a","The utilization of crypto ransomware has emerged as a potent and progressively perilous armament in the cyber criminal's repertoire, inflicting severe and extensive damages on both individuals and enterprises. Despite the conventional view of Windows-based systems as the most targeted by ransomware attacks, there has been a noticeable shift in focus towards Linux-based systems, posing a new security challenge. Linux, a widely adopted open-source operating system renowned for its robust security and dependability, has been particularly favored by critical infrastructures, government entities, and commercial enterprises. Nevertheless, the recent emergence of ransomware targeting Linux systems has exposed the platform's susceptibility to cyber threats, leading to heightened concerns about the security of these systems. This research article proposes a zero-trust resilience strategy (ZTRS) for Linux based servers and personal computers to effectively mitigate the latest crypto ransomware variants including Hive, Conti, Darkside, REvil and Red Alert. ZTRS adopts a comprehensive and advanced strategy that has been carefully designed to efficiently hinder the fundamental requirements that Linux ransomware relies on to execute its operations. It implements a range of preemptive measures to prevent any efforts by the ransomware to obtain root privileges, and to obstruct the extraction of data that could enable multi-level extortion. The tactics employed by ZTRS are highly effective in safeguarding against the devastating consequences of Linux ransomware attacks.  © 2023 IEEE.","crypto warfare; crypto-ransomware; cyber security; cyber-attack; Linux ransomware; malware; zero trust","Crime; Linux; Malware; Open systems; Personal computers; Crypto warfare; Crypto-ransomware; Cyber criminals; Cyber security; Cyber-attacks; Linux ransomware; Malwares; Resilience strategy; Windows-based systems; Zero trust; Cybersecurity","Conference paper","Final","Scopus"
